"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Audreyjarvisvirus",0,170,0,1877,1,1
"Aurantiacibacter",4,166,15,1862,0.0664180219359037,0.732660266430438
"Aurantimicrobium",0,170,0,1877,1,1
"Aureibaculum",0,170,0,1877,1,1
"Aureimonas",7,163,42,1835,0.119836455142743,0.99264530343239
"Aureispira",0,170,0,1877,1,1
"Aureliella",0,170,1,1876,1,1
"Auritidibacter",0,170,0,1877,1,1
"Aurivirus",0,170,0,1877,1,1
"Aurodevirus",0,170,3,1874,1,1
"Aurunvirus",0,170,0,1877,1,1
"Austintatiousvirus",0,170,0,1877,1,1
"Austwickia",0,170,0,1877,1,1
"Avastrovirus",0,170,0,1877,1,1
"Aveparvovirus",0,170,0,1877,1,1
"Aviadenovirus",0,170,0,1877,1,1
"Avibacterium",3,167,1,1876,0.00211604849259907,0.0525838050410869
"Avihepadnavirus",0,170,0,1877,1,1
"Avihepatovirus",0,170,0,1877,1,1
"Avipoxvirus",0,170,0,1877,1,1
"Avocadovirus",0,170,0,1877,1,1
"Avulavirus",0,170,0,1877,1,1
"Avunavirus",0,170,0,1877,1,1
"Azohydromonas",0,170,0,1877,1,1
"Azonexus",0,170,0,1877,1,1
"Azorhizobium",2,168,13,1864,0.357771044770372,1
"Azorudivirus",0,170,0,1877,1,1
"Azospirillum",8,162,42,1835,0.0627907116178002,0.732660266430438
"Azotobacter",0,170,34,1843,0.108391584756309,0.91162847983001
"Azovibrio",0,170,0,1877,1,1
"Babuvirus",0,170,0,1877,1,1
"Bacilladnavirus",0,170,0,1877,1,1
"Bacillarnavirus",0,170,0,1877,1,1
"Backyardiganvirus",0,170,0,1877,1,1
"Bacterioplanes",0,170,0,1877,1,1
"Bacterioplanoides",0,170,0,1877,1,1
"Bacteriovorax",0,170,0,1877,1,1
"Bacteroides",103,67,541,1336,4.51531788508462e-16,7.48037662962352e-14
"Badnavirus",0,170,0,1877,1,1
"Baekduia",0,170,5,1872,1,1
"Bafinivirus",0,170,0,1877,1,1
"Baikalvirus",0,170,0,1877,1,1
"Balneatrix",0,170,0,1877,1,1
"Balneola",0,170,0,1877,1,1
"Baltivirus",0,170,0,1877,1,1
"Banmivirus",0,170,0,1877,1,1
"Baoshanvirus",0,170,0,1877,1,1
"Barbavirus",0,170,0,1877,1,1
"Barnavirus",0,170,0,1877,1,1
"Barnesiella",7,163,27,1850,0.0189183408315695,0.316977546667068
"Barnyardlikevirus",0,170,0,1877,1,1
"Barrientosiimonas",3,167,0,1877,0.00056354438030912,0.016004660400779
"Bartonella",8,162,100,1777,0.858615295033243,1
"Basfia",1,169,1,1876,0.159236915859511,1
"Basilea",0,170,0,1877,1,1
"Bastillevirus",0,170,0,1877,1,1
"Batrachovirus",0,170,0,1877,1,1
"Batravirus",0,170,0,1877,1,1
"Bcep22likevirus",0,170,0,1877,1,1
"Bcep78likevirus",0,170,0,1877,1,1
"Bdellomicrovirus",0,170,0,1877,1,1
"Bdellovibrio",0,170,16,1861,0.637077403000841,1
"Beecentumtrevirus",0,170,0,1877,1,1
"Beggiatoa",0,170,0,1877,1,1
"Begomovirus",0,170,0,1877,1,1
"Belliella",0,170,0,1877,1,1
"Bellilinea",0,170,0,1877,1,1
"Belnapia",0,170,0,1877,1,1
"Bendigovirus",0,170,0,1877,1,1
"Benyvirus",0,170,0,1877,1,1
"Beograduvirus",0,170,0,1877,1,1
"Bequatrovirus",0,170,0,1877,1,1
"Bergeyella",10,160,1,1876,1.24430783143264e-10,1.03070165370337e-08
"Berhavirus",0,170,0,1877,1,1
"Berlinvirus",0,170,0,1877,1,1
"Bermanella",0,170,0,1877,1,1
"Bernalvirus",0,170,0,1877,1,1
"Bernardetia",0,170,0,1877,1,1
"Berryella",3,167,5,1872,0.0230647061265525,0.358223717028019
"Bertelyvirus",0,170,0,1877,1,1
"Besingivirus",0,170,0,1877,1,1
"Betabaculovirus",0,170,0,1877,1,1
"Betachrysovirus",0,170,0,1877,1,1
"Betacoronavirus",0,170,0,1877,1,1
"Betadintovirus",0,170,0,1877,1,1
"Betaentomopoxvirus",0,170,0,1877,1,1
"Betafusarivirus",0,170,0,1877,1,1
"Betafusellovirus",0,170,0,1877,1,1
"Betahypovirus",0,170,0,1877,1,1
"Betalipothrixvirus",0,170,0,1877,1,1
