"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Asteriusvirus",0,189,0,1858,1,1
"Atadenovirus",0,189,0,1858,1,1
"Athalassotoga",0,189,0,1858,1,1
"Atlantibacter",0,189,0,1858,1,1
"Atopobium",0,189,3,1855,1,1
"Atribacter",0,189,0,1858,1,1
"Attisvirus",0,189,0,1858,1,1
"Audreyjarvisvirus",0,189,0,1858,1,1
"Aurantiacibacter",0,189,19,1839,0.248227252814832,1
"Aurantimicrobium",0,189,0,1858,1,1
"Aureibaculum",0,189,0,1858,1,1
"Aureimonas",0,189,49,1809,0.0200414721463456,0.375872137989954
"Aureispira",0,189,0,1858,1,1
"Aureliella",0,189,1,1857,1,1
"Auritidibacter",0,189,0,1858,1,1
"Aurivirus",0,189,0,1858,1,1
"Aurodevirus",3,186,0,1858,0.000775790533011342,0.0214204386059243
"Aurunvirus",0,189,0,1858,1,1
"Austintatiousvirus",0,189,0,1858,1,1
"Austwickia",0,189,0,1858,1,1
"Avastrovirus",0,189,0,1858,1,1
"Aveparvovirus",0,189,0,1858,1,1
"Aviadenovirus",0,189,0,1858,1,1
"Avibacterium",1,188,3,1855,0.321450049130024,1
"Avihepadnavirus",0,189,0,1858,1,1
"Avihepatovirus",0,189,0,1858,1,1
"Avipoxvirus",0,189,0,1858,1,1
"Avocadovirus",0,189,0,1858,1,1
"Avulavirus",0,189,0,1858,1,1
"Avunavirus",0,189,0,1858,1,1
"Azohydromonas",0,189,0,1858,1,1
"Azonexus",0,189,0,1858,1,1
"Azorhizobium",0,189,15,1843,0.387281623427187,1
"Azorudivirus",0,189,0,1858,1,1
"Azospirillum",2,187,48,1810,0.317018926339681,1
"Azotobacter",1,188,33,1825,0.362707615122699,1
"Azovibrio",0,189,0,1858,1,1
"Babuvirus",0,189,0,1858,1,1
"Bacilladnavirus",0,189,0,1858,1,1
"Bacillarnavirus",0,189,0,1858,1,1
"Backyardiganvirus",0,189,0,1858,1,1
"Bacterioplanes",0,189,0,1858,1,1
"Bacterioplanoides",0,189,0,1858,1,1
"Bacteriovorax",0,189,0,1858,1,1
"Bacteroides",174,15,470,1388,3.94188945515888e-76,9.79559529606981e-74
"Badnavirus",0,189,0,1858,1,1
"Baekduia",0,189,5,1853,1,1
"Bafinivirus",0,189,0,1858,1,1
"Baikalvirus",0,189,0,1858,1,1
"Balneatrix",0,189,0,1858,1,1
"Balneola",0,189,0,1858,1,1
"Baltivirus",0,189,0,1858,1,1
"Banmivirus",0,189,0,1858,1,1
"Baoshanvirus",0,189,0,1858,1,1
"Barbavirus",0,189,0,1858,1,1
"Barnavirus",0,189,0,1858,1,1
"Barnesiella",21,168,13,1845,2.07519854563982e-14,1.28921709647874e-12
"Barnyardlikevirus",0,189,0,1858,1,1
"Barrientosiimonas",0,189,3,1855,1,1
"Bartonella",5,184,103,1755,0.121244296820221,1
"Basfia",1,188,1,1857,0.176176566235977,1
"Basilea",0,189,0,1858,1,1
"Bastillevirus",0,189,0,1858,1,1
"Batrachovirus",0,189,0,1858,1,1
"Batravirus",0,189,0,1858,1,1
"Bcep22likevirus",0,189,0,1858,1,1
"Bcep78likevirus",0,189,0,1858,1,1
"Bdellomicrovirus",0,189,0,1858,1,1
"Bdellovibrio",1,188,15,1843,1,1
"Beecentumtrevirus",0,189,0,1858,1,1
"Beggiatoa",0,189,0,1858,1,1
"Begomovirus",0,189,0,1858,1,1
"Belliella",0,189,0,1858,1,1
"Bellilinea",0,189,0,1858,1,1
"Belnapia",0,189,0,1858,1,1
"Bendigovirus",0,189,0,1858,1,1
"Benyvirus",0,189,0,1858,1,1
"Beograduvirus",0,189,0,1858,1,1
"Bequatrovirus",0,189,0,1858,1,1
"Bergeyella",0,189,11,1847,0.613483719570023,1
"Berhavirus",0,189,0,1858,1,1
"Berlinvirus",0,189,0,1858,1,1
"Bermanella",0,189,0,1858,1,1
"Bernalvirus",0,189,0,1858,1,1
"Bernardetia",0,189,0,1858,1,1
"Berryella",0,189,8,1850,1,1
"Bertelyvirus",0,189,0,1858,1,1
"Besingivirus",0,189,0,1858,1,1
"Betabaculovirus",0,189,0,1858,1,1
"Betachrysovirus",0,189,0,1858,1,1
"Betacoronavirus",0,189,0,1858,1,1
"Betadintovirus",0,189,0,1858,1,1
"Betaentomopoxvirus",0,189,0,1858,1,1
"Betafusarivirus",0,189,0,1858,1,1
"Betafusellovirus",0,189,0,1858,1,1
"Betahypovirus",0,189,0,1858,1,1
"Betalipothrixvirus",0,189,0,1858,1,1
"Betanucleorhabdovirus",0,189,0,1858,1,1
"Betanudivirus",0,189,0,1858,1,1
"Betapapillomavirus",0,189,0,1858,1,1
"Betapartitivirus",15,174,58,1800,0.00277160505854314,0.0671945226388265
"Betapolyomavirus",0,189,1,1857,1,1
"Betaretrovirus",0,189,0,1858,1,1
"Betasatellite",0,189,0,1858,1,1
"Betatorquevirus",0,189,0,1858,1,1
"Betayadokarivirus",0,189,0,1858,1,1
"Bhargavaea",0,189,0,1858,1,1
"Bibersteinia",0,189,1,1857,1,1
"Bicaudavirus",0,189,0,1858,1,1
"Bifidobacterium",70,119,129,1729,9.54489539004064e-28,7.29817385976953e-26
"Bignuzlikevirus",0,189,0,1858,1,1
"Bignuzvirus",0,189,0,1858,1,1
"Bilophila",0,189,0,1858,1,1
"Bingvirus",0,189,0,1858,1,1
"Birpovirus",0,189,0,1858,1,1
"Bisgaardia",0,189,0,1858,1,1
"Bixzunavirus",0,189,0,1858,1,1
"Bizionia",0,189,0,1858,1,1
"Blastochloris",0,189,20,1838,0.248454403540024,1
"Blastococcus",0,189,6,1852,1,1
"Blastomonas",0,189,20,1838,0.248454403540024,1
"Blastopirellula",0,189,0,1858,1,1
"Blattabacterium",7,182,173,1685,0.0067112472895038,0.15161317740379
"Blautia",126,63,39,1819,2.50455468940232e-116,2.48952736126591e-113
"Blohavirus",0,189,0,1858,1,1
"Blunervirus",0,189,0,1858,1,1
"Bocaparvovirus",0,189,0,1858,1,1
"Bohxovirus",0,189,0,1858,1,1
"Bombilactobacillus",0,189,3,1855,1,1
"Bongovirus",0,189,0,1858,1,1
"Bonnellvirus",0,189,0,1858,1,1
"Bordetella",22,167,119,1739,0.0101260262962322,0.209693127884476
"Bornavirus",0,189,0,1858,1,1
"Borrelia",0,189,1,1857,1,1
"Borreliella",0,189,2,1856,1,1
"Bosavirus",0,189,0,1858,1,1
"Bossavirus",0,189,0,1858,1,1
"Botrexvirus",0,189,0,1858,1,1
"Botrytimonavirus",0,189,0,1858,1,1
"Bottigliavirus",0,189,0,1858,1,1
"Boudabousia",0,189,0,1858,1,1
"Bowservirus",0,189,0,1858,1,1
"Bppunalikevirus",0,189,0,1858,1,1
"Brachybacterium",0,189,20,1838,0.248454403540024,1
"Brachymonas",0,189,0,1858,1,1
"Brachyspira",1,188,9,1849,1,1
"Brackiella",0,189,0,1858,1,1
"Bracoviriform",0,189,0,1858,1,1
"Bracovirus",0,189,0,1858,1,1
"Bradymonas",0,189,0,1858,1,1
"Bremerella",0,189,0,1858,1,1
"Brenneria",0,189,3,1855,1,1
"Breoghania",0,189,4,1854,1,1
"Brevefilum",0,189,0,1858,1,1
"Brevidensovirus",0,189,0,1858,1,1
"Breznakiella",0,189,5,1853,1,1
"Brigitvirus",2,187,0,1858,0.0084839125134128,0.183326283442007
"Bromovirus",0,189,0,1858,1,1
"Bronlikevirus",0,189,0,1858,1,1
"Brooklawnia",0,189,1,1857,1,1
"Brucella",33,156,282,1576,0.398225554488251,1
"Brucepastera",0,189,13,1845,0.623690542041797,1
"Brussowvirus",0,189,0,1858,1,1
"Bryobacter",0,189,0,1858,1,1
"Buchavirus",1,188,0,1858,0.0923302393746947,1
"Buchnera",76,113,791,1067,0.588728454934447,1
"Buhlduvirus",0,189,0,1858,1,1
"Bulleidia",5,184,35,1823,0.410455508988142,1
"Buorbuivirus",0,189,0,1858,1,1
"Burrovirus",0,189,0,1858,1,1
"Burzaovirus",1,188,0,1858,0.0923302393746947,1
"Buttiauxella",1,188,1,1857,0.176176566235977,1
"Butyricicoccus",0,189,0,1858,1,1
"Butyricimonas",63,126,13,1845,9.30148521463028e-57,1.15570953791781e-54
"Butyrivibrio",30,159,28,1830,3.09104773155799e-17,2.0483342967791e-15
"Bymovirus",0,189,0,1858,1,1
"C2likevirus",0,189,0,1858,1,1
"C5likevirus",0,189,0,1858,1,1
"Caballeronia",4,185,42,1816,1,1
"Cacepaovirus",0,189,0,1858,1,1
"Caedibacter",0,189,0,1858,1,1
"Caelumvirus",0,189,0,1858,1,1
"Caenibius",0,189,18,1840,0.40113482880854,1
"Caenimonas",0,189,0,1858,1,1
"Caenispirillum",0,189,0,1858,1,1
"Caeruleovirus",0,189,0,1858,1,1
"Cafeteriavirus",0,189,0,1858,1,1
"Caldalkalibacillus",0,189,0,1858,1,1
"Caldanaerobacter",0,189,0,1858,1,1
"Caldanaerobius",0,189,0,1858,1,1
"Caldibacillus",0,189,1,1857,1,1
"Caldicellulosiruptor",0,189,10,1848,0.612894604830196,1
"Caldichromatium",0,189,2,1856,1,1
"Caldicoprobacter",0,189,0,1858,1,1
"Caldilinea",0,189,0,1858,1,1
"Caldimicrobium",0,189,0,1858,1,1
"Caldimonas",6,183,58,1800,1,1
"Caldinitratiruptor",0,189,4,1854,1,1
"Caldisericum",0,189,0,1858,1,1
"Caldisphaera",0,189,0,1858,1,1
"Calditerrivibrio",0,189,1,1857,1,1
"Caldithrix",0,189,1,1857,1,1
"Caldivirga",0,189,0,1858,1,1
"Callevirus",0,189,0,1858,1,1
"Caloramator",0,189,5,1853,1,1
"Caloranaerobacter",0,189,2,1856,1,1
"Calothrix",0,189,4,1854,1,1
"Caminibacter",0,189,0,1858,1,1
"Caminicella",0,189,3,1855,1,1
"Campanilevirus",0,189,0,1858,1,1
"Campylobacter",110,79,959,899,0.0926332702728545,1
"Camvirus",0,189,0,1858,1,1
"Candidatus_Accumulibacter",0,189,0,1858,1,1
"Candidatus_Amoebophilus",0,189,0,1858,1,1
"Candidatus_Aquiluna",0,189,0,1858,1,1
"Candidatus_Arthromitus",0,189,0,1858,1,1
"Candidatus_Atelocyanobacterium",0,189,0,1858,1,1
"Candidatus_Azobacteroides",0,189,0,1858,1,1
"Candidatus_Babela",0,189,0,1858,1,1
"Candidatus_Blochmannia",0,189,0,1858,1,1
"Candidatus_Brocadia",0,189,0,1858,1,1
"Candidatus_Cardinium",0,189,0,1858,1,1
"Candidatus_Cloacimonas",0,189,0,1858,1,1
"Candidatus_Competibacter",0,189,0,1858,1,1
"Candidatus_Contendobacter",0,189,0,1858,1,1
"Candidatus_Desulforudis",0,189,0,1858,1,1
"Candidatus_Endolissoclinum",0,189,0,1858,1,1
"Candidatus_Evansia",0,189,0,1858,1,1
"Candidatus_Glomeribacter",0,189,0,1858,1,1
"Candidatus_Halobonum",0,189,0,1858,1,1
"Candidatus_Hamiltonella",0,189,0,1858,1,1
"Candidatus_Hepatobacter",0,189,0,1858,1,1
"Candidatus_Ishikawaella",0,189,0,1858,1,1
"Candidatus_Jettenia",0,189,0,1858,1,1
"Candidatus_Korarchaeum",0,189,0,1858,1,1
"Candidatus_Koribacter",0,189,0,1858,1,1
"Candidatus_Liberibacter",0,189,0,1858,1,1
"Candidatus_Magnetobacterium",0,189,0,1858,1,1
"Candidatus_Methanomethylophilus",0,189,0,1858,1,1
"Candidatus_Methanoperedens",0,189,0,1858,1,1
"Candidatus_Methanoplasma",0,189,0,1858,1,1
"Candidatus_Methylopumilus",0,189,0,1858,1,1
"Candidatus_Microthrix",0,189,0,1858,1,1
"Candidatus_Midichloria",0,189,0,1858,1,1
"Candidatus_Moranella",0,189,0,1858,1,1
"Candidatus_Nasuia",0,189,0,1858,1,1
"Candidatus_Neoehrlichia",0,189,0,1858,1,1
"Candidatus_Nitrosoarchaeum",0,189,0,1858,1,1
"Candidatus_Nitrosocosmicus",0,189,0,1858,1,1
"Candidatus_Nitrosopelagicus",0,189,0,1858,1,1
"Candidatus_Nitrosotenuis",0,189,0,1858,1,1
"Candidatus_Odyssella",0,189,0,1858,1,1
"Candidatus_Paracaedibacter",0,189,0,1858,1,1
"Candidatus_Pelagibacter",0,189,0,1858,1,1
"Candidatus_Phaeomarinobacter",0,189,0,1858,1,1
"Candidatus_Photodesmus",0,189,0,1858,1,1
"Candidatus_Phytoplasma",0,189,0,1858,1,1
"Candidatus_Portiera",0,189,0,1858,1,1
"Candidatus_Profftella",0,189,0,1858,1,1
"Candidatus_Protochlamydia",0,189,0,1858,1,1
"Candidatus_Puniceispirillum",0,189,0,1858,1,1
"Candidatus_Regiella",0,189,0,1858,1,1
"Candidatus_Riesia",0,189,0,1858,1,1
"Candidatus_Ruthia",0,189,0,1858,1,1
"Candidatus_Schmidhempelia",0,189,0,1858,1,1
"Candidatus_Soleaferrea",0,189,0,1858,1,1
"Candidatus_Solibacter",0,189,0,1858,1,1
"Candidatus_Stoquefichus",0,189,0,1858,1,1
"Candidatus_Sulcia",0,189,0,1858,1,1
"Candidatus_Symbiobacter",0,189,0,1858,1,1
"Candidatus_Tachikawaea",0,189,0,1858,1,1
