"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Bppunalikevirus",0,64,0,1983,1,1
"Brachybacterium",1,63,19,1964,0.471812676774424,1
"Brachymonas",0,64,0,1983,1,1
"Brachyspira",1,63,9,1974,0.272656416921781,1
"Brackiella",0,64,0,1983,1,1
"Bracoviriform",0,64,0,1983,1,1
"Bracovirus",0,64,0,1983,1,1
"Bradymonas",0,64,0,1983,1,1
"Bremerella",0,64,0,1983,1,1
"Brenneria",0,64,3,1980,1,1
"Breoghania",0,64,4,1979,1,1
"Brevefilum",0,64,0,1983,1,1
"Brevidensovirus",0,64,0,1983,1,1
"Breznakiella",1,63,4,1979,0.146986740780584,1
"Brigitvirus",0,64,2,1981,1,1
"Bromovirus",0,64,0,1983,1,1
"Bronlikevirus",0,64,0,1983,1,1
"Brooklawnia",0,64,1,1982,1,1
"Brucella",6,58,309,1674,0.218013940680963,1
"Brucepastera",1,63,12,1971,0.339113294571611,1
"Brussowvirus",0,64,0,1983,1,1
"Bryobacter",0,64,0,1983,1,1
"Buchavirus",0,64,1,1982,1,1
"Buchnera",31,33,836,1147,0.368450042190611,1
"Buhlduvirus",0,64,0,1983,1,1
"Bulleidia",1,63,39,1944,1,1
"Buorbuivirus",0,64,0,1983,1,1
"Burrovirus",0,64,0,1983,1,1
"Burzaovirus",0,64,1,1982,1,1
"Buttiauxella",0,64,2,1981,1,1
"Butyricicoccus",0,64,0,1983,1,1
"Butyricimonas",4,60,72,1911,0.296983592920374,1
"Butyrivibrio",1,63,57,1926,1,1
"Bymovirus",0,64,0,1983,1,1
"C2likevirus",0,64,0,1983,1,1
"C5likevirus",0,64,0,1983,1,1
"Caballeronia",1,63,45,1938,1,1
"Cacepaovirus",0,64,0,1983,1,1
"Caedibacter",0,64,0,1983,1,1
"Caelumvirus",0,64,0,1983,1,1
"Caenibius",1,63,17,1966,0.436837234118333,1
"Caenimonas",0,64,0,1983,1,1
"Caenispirillum",0,64,0,1983,1,1
"Caeruleovirus",0,64,0,1983,1,1
"Cafeteriavirus",0,64,0,1983,1,1
"Caldalkalibacillus",0,64,0,1983,1,1
"Caldanaerobacter",0,64,0,1983,1,1
"Caldanaerobius",0,64,0,1983,1,1
"Caldibacillus",0,64,1,1982,1,1
"Caldicellulosiruptor",1,63,9,1974,0.272656416921781,1
"Caldichromatium",0,64,2,1981,1,1
"Caldicoprobacter",0,64,0,1983,1,1
"Caldilinea",0,64,0,1983,1,1
"Caldimicrobium",0,64,0,1983,1,1
"Caldimonas",0,64,64,1919,0.263930495985903,1
"Caldinitratiruptor",1,63,3,1980,0.119400662665352,1
"Caldisericum",0,64,0,1983,1,1
"Caldisphaera",0,64,0,1983,1,1
"Calditerrivibrio",0,64,1,1982,1,1
"Caldithrix",0,64,1,1982,1,1
"Caldivirga",0,64,0,1983,1,1
"Callevirus",0,64,0,1983,1,1
