"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Bafinivirus",0,136,0,1911,1,1
"Baikalvirus",0,136,0,1911,1,1
"Balneatrix",0,136,0,1911,1,1
"Balneola",0,136,0,1911,1,1
"Baltivirus",0,136,0,1911,1,1
"Banmivirus",0,136,0,1911,1,1
"Baoshanvirus",0,136,0,1911,1,1
"Barbavirus",0,136,0,1911,1,1
"Barnavirus",0,136,0,1911,1,1
"Barnesiella",0,136,34,1877,0.165215887261429,1
"Barnyardlikevirus",0,136,0,1911,1,1
"Barrientosiimonas",0,136,3,1908,1,1
"Bartonella",1,135,107,1804,0.00854561707704862,0.353930973941097
"Basfia",0,136,2,1909,1,1
"Basilea",0,136,0,1911,1,1
"Bastillevirus",0,136,0,1911,1,1
"Batrachovirus",0,136,0,1911,1,1
"Batravirus",0,136,0,1911,1,1
"Bcep22likevirus",0,136,0,1911,1,1
"Bcep78likevirus",0,136,0,1911,1,1
"Bdellomicrovirus",0,136,0,1911,1,1
"Bdellovibrio",0,136,16,1895,0.619561312204899,1
"Beecentumtrevirus",0,136,0,1911,1,1
"Beggiatoa",0,136,0,1911,1,1
"Begomovirus",0,136,0,1911,1,1
"Belliella",0,136,0,1911,1,1
"Bellilinea",0,136,0,1911,1,1
"Belnapia",0,136,0,1911,1,1
"Bendigovirus",0,136,0,1911,1,1
"Benyvirus",0,136,0,1911,1,1
"Beograduvirus",0,136,0,1911,1,1
"Bequatrovirus",0,136,0,1911,1,1
"Bergeyella",0,136,11,1900,1,1
"Berhavirus",0,136,0,1911,1,1
"Berlinvirus",0,136,0,1911,1,1
"Bermanella",0,136,0,1911,1,1
"Bernalvirus",0,136,0,1911,1,1
"Bernardetia",0,136,0,1911,1,1
"Berryella",0,136,8,1903,1,1
"Bertelyvirus",0,136,0,1911,1,1
"Besingivirus",0,136,0,1911,1,1
"Betabaculovirus",0,136,0,1911,1,1
"Betachrysovirus",0,136,0,1911,1,1
"Betacoronavirus",0,136,0,1911,1,1
"Betadintovirus",0,136,0,1911,1,1
"Betaentomopoxvirus",0,136,0,1911,1,1
"Betafusarivirus",0,136,0,1911,1,1
"Betafusellovirus",0,136,0,1911,1,1
"Betahypovirus",0,136,0,1911,1,1
"Betalipothrixvirus",0,136,0,1911,1,1
"Betanucleorhabdovirus",0,136,0,1911,1,1
"Betanudivirus",0,136,0,1911,1,1
