"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Buorbuivirus",0,0,0,2047,1,1
"Burrovirus",0,0,0,2047,1,1
"Burzaovirus",0,0,1,2046,1,1
"Buttiauxella",0,0,2,2045,1,1
"Butyricicoccus",0,0,0,2047,1,1
"Butyricimonas",0,0,76,1971,1,1
"Butyrivibrio",0,0,58,1989,1,1
"Bymovirus",0,0,0,2047,1,1
"C2likevirus",0,0,0,2047,1,1
"C5likevirus",0,0,0,2047,1,1
"Caballeronia",0,0,46,2001,1,1
"Cacepaovirus",0,0,0,2047,1,1
"Caedibacter",0,0,0,2047,1,1
"Caelumvirus",0,0,0,2047,1,1
"Caenibius",0,0,18,2029,1,1
"Caenimonas",0,0,0,2047,1,1
"Caenispirillum",0,0,0,2047,1,1
"Caeruleovirus",0,0,0,2047,1,1
"Cafeteriavirus",0,0,0,2047,1,1
"Caldalkalibacillus",0,0,0,2047,1,1
"Caldanaerobacter",0,0,0,2047,1,1
"Caldanaerobius",0,0,0,2047,1,1
"Caldibacillus",0,0,1,2046,1,1
"Caldicellulosiruptor",0,0,10,2037,1,1
"Caldichromatium",0,0,2,2045,1,1
"Caldicoprobacter",0,0,0,2047,1,1
"Caldilinea",0,0,0,2047,1,1
"Caldimicrobium",0,0,0,2047,1,1
"Caldimonas",0,0,64,1983,1,1
"Caldinitratiruptor",0,0,4,2043,1,1
"Caldisericum",0,0,0,2047,1,1
"Caldisphaera",0,0,0,2047,1,1
"Calditerrivibrio",0,0,1,2046,1,1
"Caldithrix",0,0,1,2046,1,1
"Caldivirga",0,0,0,2047,1,1
"Callevirus",0,0,0,2047,1,1
"Caloramator",0,0,5,2042,1,1
"Caloranaerobacter",0,0,2,2045,1,1
"Calothrix",0,0,4,2043,1,1
"Caminibacter",0,0,0,2047,1,1
"Caminicella",0,0,3,2044,1,1
"Campanilevirus",0,0,0,2047,1,1
"Campylobacter",0,0,1069,978,1,1
"Camvirus",0,0,0,2047,1,1
"Candidatus_Accumulibacter",0,0,0,2047,1,1
"Candidatus_Amoebophilus",0,0,0,2047,1,1
"Candidatus_Aquiluna",0,0,0,2047,1,1
"Candidatus_Arthromitus",0,0,0,2047,1,1
"Candidatus_Atelocyanobacterium",0,0,0,2047,1,1
"Candidatus_Azobacteroides",0,0,0,2047,1,1
"Candidatus_Babela",0,0,0,2047,1,1
"Candidatus_Blochmannia",0,0,0,2047,1,1
"Candidatus_Brocadia",0,0,0,2047,1,1
"Candidatus_Cardinium",0,0,0,2047,1,1
"Candidatus_Cloacimonas",0,0,0,2047,1,1
"Candidatus_Competibacter",0,0,0,2047,1,1
"Candidatus_Contendobacter",0,0,0,2047,1,1
"Candidatus_Desulforudis",0,0,0,2047,1,1
"Candidatus_Endolissoclinum",0,0,0,2047,1,1
"Candidatus_Evansia",0,0,0,2047,1,1
"Candidatus_Glomeribacter",0,0,0,2047,1,1
"Candidatus_Halobonum",0,0,0,2047,1,1
"Candidatus_Hamiltonella",0,0,0,2047,1,1
