"Genus","crc_pos","crc_neg","other_pos","other_neg","p_value"
"Amycolicicoccus",0,189,0,1858,1
"Amylibacter",0,189,2,1856,1
"Amylolactobacillus",0,189,0,1858,1
"Anaeroarcus",0,189,0,1858,1
"Anaerobacillus",0,189,0,1858,1
"Anaerobaculum",0,189,0,1858,1
"Anaerofustis",0,189,0,1858,1
"Anaerohalosphaera",0,189,0,1858,1
"Anaerolinea",0,189,1,1857,1
"Anaeromusa",0,189,0,1858,1
"Anaeropeptidivorans",0,189,2,1856,1
"Anaerophaga",0,189,0,1858,1
"Anaerosalibacter",0,189,0,1858,1
"Anaerosporomusa",0,189,0,1858,1
"Anaerovibrio",0,189,0,1858,1
"Anaerovorax",0,189,0,1858,1
"Anaplasma",0,189,0,1858,1
"Anaposvirus",0,189,0,1858,1
"Anatilimnocola",0,189,0,1858,1
"Anativirus",0,189,0,1858,1
"Anayavirus",0,189,0,1858,1
"Andhravirus",0,189,1,1857,1
"Anditalea",0,189,0,1858,1
"Andreprevotia",0,189,0,1858,1
"Andromedalikevirus",0,189,0,1858,1
"Andromedavirus",0,189,0,1858,1
"Aneurinibacillus",0,189,2,1856,1
"Angelvirus",0,189,0,1858,1
"Angustibacter",0,189,0,1858,1
"Annadreamyvirus",0,189,0,1858,1
"Anoxybacter",0,189,0,1858,1
"Anphevirus",0,189,0,1858,1
"Antarcticibacterium",0,189,1,1857,1
"Antennavirus",0,189,0,1858,1
"Anthocerotibacter",0,189,1,1857,1
"Anulavirus",0,189,0,1858,1
"Aokuangvirus",0,189,0,1858,1
"Aparavirus",0,189,0,1858,1
"Aphanizomenon",0,189,0,1858,1
"Aphanocapsa",0,189,0,1858,1
"Aphthovirus",0,189,0,1858,1
"Apilactobacillus",0,189,2,1856,1
"Apscaviroid",0,189,0,1858,1
"Aptresvirus",0,189,0,1858,1
"Aqualcavirus",0,189,0,1858,1
"Aquamavirus",0,189,0,1858,1
"Aquamicrobium",0,189,0,1858,1
"Aquaparamyxovirus",0,189,0,1858,1
"Aquareovirus",0,189,0,1858,1
"Aquella",0,189,0,1858,1
"Aquicella",0,189,0,1858,1
"Aquifex",0,189,0,1858,1
"Aquiluna",0,189,0,1858,1
"Aquimarina",0,189,1,1857,1
"Aquirhabdus",0,189,1,1857,1
"Aquirufa",0,189,0,1858,1
"Aquisalimonas",0,189,2,1856,1
"Arachidicoccus",0,189,1,1857,1
"Archaeoglobus",0,189,0,1858,1
"Arcticibacter",0,189,0,1858,1
"Arcticibacterium",0,189,0,1858,1
"Ardenticatena",0,189,0,1858,1
"Arenavirus",0,189,0,1858,1
"Arenibacter",0,189,0,1858,1
"Arenimonas",0,189,0,1858,1
"Arenitalea",0,189,0,1858,1
"Arepavirus",0,189,0,1858,1
"Aresaunavirus",0,189,0,1858,1
"Arhodomonas",0,189,0,1858,1
"Aristophania",0,189,0,1858,1
"Arsenicicoccus",0,189,2,1856,1
"Arsenophonus",0,189,0,1858,1
"Arsukibacterium",0,189,0,1858,1
"Arterivirus",0,189,0,1858,1
"Arthrospira",0,189,0,1858,1
"Asaia",0,189,0,1858,1
"Asanoa",0,189,0,1858,1
"Ascovirus",0,189,0,1858,1
"Asfivirus",0,189,0,1858,1
"Asteriusvirus",0,189,0,1858,1
"Atadenovirus",0,189,0,1858,1
"Athalassotoga",0,189,0,1858,1
"Atlantibacter",0,189,0,1858,1
"Atribacter",0,189,0,1858,1
"Attisvirus",0,189,0,1858,1
"Audreyjarvisvirus",0,189,0,1858,1
"Aurantimicrobium",0,189,0,1858,1
"Aureibaculum",0,189,0,1858,1
"Aureispira",0,189,0,1858,1
"Aureliella",0,189,1,1857,1
"Auritidibacter",0,189,0,1858,1
"Aurivirus",0,189,0,1858,1
"Aurunvirus",0,189,0,1858,1
"Austintatiousvirus",0,189,0,1858,1
"Austwickia",0,189,0,1858,1
"Avastrovirus",0,189,0,1858,1
"Aveparvovirus",0,189,0,1858,1
"Aviadenovirus",0,189,0,1858,1
"Avihepadnavirus",0,189,0,1858,1
"Avihepatovirus",0,189,0,1858,1
"Avipoxvirus",0,189,0,1858,1
"Avocadovirus",0,189,0,1858,1
"Avulavirus",0,189,0,1858,1
"Avunavirus",0,189,0,1858,1
"Azohydromonas",0,189,0,1858,1
"Azonexus",0,189,0,1858,1
"Azorudivirus",0,189,0,1858,1
"Azovibrio",0,189,0,1858,1
"Babuvirus",0,189,0,1858,1
"Bacilladnavirus",0,189,0,1858,1
"Bacillarnavirus",0,189,0,1858,1
"Backyardiganvirus",0,189,0,1858,1
"Bacterioplanes",0,189,0,1858,1
"Bacterioplanoides",0,189,0,1858,1
"Bacteriovorax",0,189,0,1858,1
"Badnavirus",0,189,0,1858,1
"Baekduia",0,189,5,1853,1
"Bafinivirus",0,189,0,1858,1
"Baikalvirus",0,189,0,1858,1
"Balneatrix",0,189,0,1858,1
"Balneola",0,189,0,1858,1
"Baltivirus",0,189,0,1858,1
"Banmivirus",0,189,0,1858,1
"Baoshanvirus",0,189,0,1858,1
"Barbavirus",0,189,0,1858,1
"Barnavirus",0,189,0,1858,1
"Barnyardlikevirus",0,189,0,1858,1
"Basilea",0,189,0,1858,1
"Bastillevirus",0,189,0,1858,1
"Batrachovirus",0,189,0,1858,1
"Batravirus",0,189,0,1858,1
"Bcep22likevirus",0,189,0,1858,1
"Bcep78likevirus",0,189,0,1858,1
"Bdellomicrovirus",0,189,0,1858,1
"Bdellovibrio",1,188,15,1843,1
"Beecentumtrevirus",0,189,0,1858,1
"Beggiatoa",0,189,0,1858,1
"Begomovirus",0,189,0,1858,1
"Belliella",0,189,0,1858,1
"Bellilinea",0,189,0,1858,1
"Belnapia",0,189,0,1858,1
"Bendigovirus",0,189,0,1858,1
"Benyvirus",0,189,0,1858,1
"Beograduvirus",0,189,0,1858,1
"Bequatrovirus",0,189,0,1858,1
"Berhavirus",0,189,0,1858,1
"Berlinvirus",0,189,0,1858,1
"Bermanella",0,189,0,1858,1
"Bernalvirus",0,189,0,1858,1
"Bernardetia",0,189,0,1858,1
"Berryella",0,189,8,1850,1
"Bertelyvirus",0,189,0,1858,1
"Besingivirus",0,189,0,1858,1
"Betabaculovirus",0,189,0,1858,1
"Betachrysovirus",0,189,0,1858,1
"Betacoronavirus",0,189,0,1858,1
"Betadintovirus",0,189,0,1858,1
"Betaentomopoxvirus",0,189,0,1858,1
"Betafusarivirus",0,189,0,1858,1
"Betafusellovirus",0,189,0,1858,1
"Betahypovirus",0,189,0,1858,1
"Betalipothrixvirus",0,189,0,1858,1
"Betanucleorhabdovirus",0,189,0,1858,1
"Betanudivirus",0,189,0,1858,1
"Betapapillomavirus",0,189,0,1858,1
"Betapolyomavirus",0,189,1,1857,1
"Betaretrovirus",0,189,0,1858,1
"Betasatellite",0,189,0,1858,1
"Betatorquevirus",0,189,0,1858,1
"Betayadokarivirus",0,189,0,1858,1
"Bhargavaea",0,189,0,1858,1
"Bibersteinia",0,189,1,1857,1
"Bicaudavirus",0,189,0,1858,1
"Bignuzlikevirus",0,189,0,1858,1
"Bignuzvirus",0,189,0,1858,1
"Bilophila",0,189,0,1858,1
"Bingvirus",0,189,0,1858,1
"Birpovirus",0,189,0,1858,1
"Bisgaardia",0,189,0,1858,1
"Bixzunavirus",0,189,0,1858,1
"Bizionia",0,189,0,1858,1
"Blastopirellula",0,189,0,1858,1
"Blohavirus",0,189,0,1858,1
"Blunervirus",0,189,0,1858,1
"Bocaparvovirus",0,189,0,1858,1
"Bohxovirus",0,189,0,1858,1
"Bongovirus",0,189,0,1858,1
"Bonnellvirus",0,189,0,1858,1
"Bornavirus",0,189,0,1858,1
"Borrelia",0,189,1,1857,1
"Borreliella",0,189,2,1856,1
"Bosavirus",0,189,0,1858,1
"Bossavirus",0,189,0,1858,1
"Botrexvirus",0,189,0,1858,1
"Botrytimonavirus",0,189,0,1858,1
"Bottigliavirus",0,189,0,1858,1
"Boudabousia",0,189,0,1858,1
"Bowservirus",0,189,0,1858,1
"Bppunalikevirus",0,189,0,1858,1
"Brachymonas",0,189,0,1858,1
"Brachyspira",1,188,9,1849,1
"Brackiella",0,189,0,1858,1
"Bracoviriform",0,189,0,1858,1
"Bracovirus",0,189,0,1858,1
"Bradymonas",0,189,0,1858,1
"Bremerella",0,189,0,1858,1
"Brevefilum",0,189,0,1858,1
"Brevidensovirus",0,189,0,1858,1
"Breznakiella",0,189,5,1853,1
"Bromovirus",0,189,0,1858,1
