"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Brigitvirus",0,149,2,1896,1,1
"Bromovirus",0,149,0,1898,1,1
"Bronlikevirus",0,149,0,1898,1,1
"Brooklawnia",1,148,0,1898,0.0727894479726428,1
"Brucella",10,139,305,1593,0.00134344355188169,0.121398444597309
"Brucepastera",2,147,11,1887,0.243381925006494,1
"Brussowvirus",0,149,0,1898,1,1
"Bryobacter",0,149,0,1898,1,1
"Buchavirus",0,149,1,1897,1,1
"Buchnera",81,68,786,1112,0.00250408836437441,0.207421986182347
"Buhlduvirus",0,149,0,1898,1,1
"Bulleidia",5,144,35,1863,0.208521606279877,1
"Buorbuivirus",0,149,0,1898,1,1
"Burrovirus",0,149,0,1898,1,1
"Burzaovirus",0,149,1,1897,1,1
"Buttiauxella",0,149,2,1896,1,1
"Butyricicoccus",0,149,0,1898,1,1
"Butyricimonas",4,145,72,1826,0.653553318132797,1
"Butyrivibrio",8,141,50,1848,0.067214631195618,1
"Bymovirus",0,149,0,1898,1,1
"C2likevirus",0,149,0,1898,1,1
"C5likevirus",0,149,0,1898,1,1
"Caballeronia",3,146,43,1855,1,1
"Cacepaovirus",0,149,0,1898,1,1
"Caedibacter",0,149,0,1898,1,1
"Caelumvirus",0,149,0,1898,1,1
"Caenibius",0,149,18,1880,0.636321961619585,1
"Caenimonas",0,149,0,1898,1,1
"Caenispirillum",0,149,0,1898,1,1
"Caeruleovirus",0,149,0,1898,1,1
"Cafeteriavirus",0,149,0,1898,1,1
"Caldalkalibacillus",0,149,0,1898,1,1
"Caldanaerobacter",0,149,0,1898,1,1
"Caldanaerobius",0,149,0,1898,1,1
"Caldibacillus",0,149,1,1897,1,1
"Caldicellulosiruptor",1,148,9,1889,0.531152353708821,1
"Caldichromatium",1,148,1,1897,0.14031357908314,1
"Caldicoprobacter",0,149,0,1898,1,1
"Caldilinea",0,149,0,1898,1,1
"Caldimicrobium",0,149,0,1898,1,1
"Caldimonas",2,147,62,1836,0.321845029837933,1
"Caldinitratiruptor",2,147,2,1896,0.0286451260390258,0.918492105896503
"Caldisericum",0,149,0,1898,1,1
"Caldisphaera",0,149,0,1898,1,1
"Calditerrivibrio",0,149,1,1897,1,1
"Caldithrix",0,149,1,1897,1,1
"Caldivirga",0,149,0,1898,1,1
"Callevirus",0,149,0,1898,1,1
"Caloramator",1,148,4,1894,0.31494566562394,1
"Caloranaerobacter",1,148,1,1897,0.14031357908314,1
"Calothrix",1,148,3,1895,0.261052795601748,1
"Caminibacter",0,149,0,1898,1,1
"Caminicella",0,149,3,1895,1,1
"Campanilevirus",0,149,0,1898,1,1
"Campylobacter",116,33,953,945,3.74637200889631e-11,1.86194688842147e-08
"Camvirus",0,149,0,1898,1,1
"Candidatus_Accumulibacter",0,149,0,1898,1,1
"Candidatus_Amoebophilus",0,149,0,1898,1,1
"Candidatus_Aquiluna",0,149,0,1898,1,1
"Candidatus_Arthromitus",0,149,0,1898,1,1
"Candidatus_Atelocyanobacterium",0,149,0,1898,1,1
"Candidatus_Azobacteroides",0,149,0,1898,1,1
"Candidatus_Babela",0,149,0,1898,1,1
"Candidatus_Blochmannia",0,149,0,1898,1,1
"Candidatus_Brocadia",0,149,0,1898,1,1
"Candidatus_Cardinium",0,149,0,1898,1,1
"Candidatus_Cloacimonas",0,149,0,1898,1,1
"Candidatus_Competibacter",0,149,0,1898,1,1
"Candidatus_Contendobacter",0,149,0,1898,1,1
"Candidatus_Desulforudis",0,149,0,1898,1,1
"Candidatus_Endolissoclinum",0,149,0,1898,1,1
"Candidatus_Evansia",0,149,0,1898,1,1
"Candidatus_Glomeribacter",0,149,0,1898,1,1
"Candidatus_Halobonum",0,149,0,1898,1,1
"Candidatus_Hamiltonella",0,149,0,1898,1,1
"Candidatus_Hepatobacter",0,149,0,1898,1,1
"Candidatus_Ishikawaella",0,149,0,1898,1,1
"Candidatus_Jettenia",0,149,0,1898,1,1
"Candidatus_Korarchaeum",0,149,0,1898,1,1
"Candidatus_Koribacter",0,149,0,1898,1,1
"Candidatus_Liberibacter",0,149,0,1898,1,1
"Candidatus_Magnetobacterium",0,149,0,1898,1,1
"Candidatus_Methanomethylophilus",0,149,0,1898,1,1
"Candidatus_Methanoperedens",0,149,0,1898,1,1
"Candidatus_Methanoplasma",0,149,0,1898,1,1
"Candidatus_Methylopumilus",0,149,0,1898,1,1
"Candidatus_Microthrix",0,149,0,1898,1,1
"Candidatus_Midichloria",0,149,0,1898,1,1
"Candidatus_Moranella",0,149,0,1898,1,1
"Candidatus_Nasuia",0,149,0,1898,1,1
"Candidatus_Neoehrlichia",0,149,0,1898,1,1
"Candidatus_Nitrosoarchaeum",0,149,0,1898,1,1
"Candidatus_Nitrosocosmicus",0,149,0,1898,1,1
"Candidatus_Nitrosopelagicus",0,149,0,1898,1,1
"Candidatus_Nitrosotenuis",0,149,0,1898,1,1
"Candidatus_Odyssella",0,149,0,1898,1,1
"Candidatus_Paracaedibacter",0,149,0,1898,1,1
"Candidatus_Pelagibacter",0,149,0,1898,1,1
"Candidatus_Phaeomarinobacter",0,149,0,1898,1,1
"Candidatus_Photodesmus",0,149,0,1898,1,1
"Candidatus_Phytoplasma",0,149,0,1898,1,1
"Candidatus_Portiera",0,149,0,1898,1,1
"Candidatus_Profftella",0,149,0,1898,1,1
"Candidatus_Protochlamydia",0,149,0,1898,1,1
"Candidatus_Puniceispirillum",0,149,0,1898,1,1
